date_of_incident,time_of_incident,published-time,incident_type,location,death_count,injury_count,type_of_vehicle1,type_of_vehicle2,description_text,full_text,published-time,link
2021-05-10,12:00:00,"10 May 2021, 07:05",head-on,"Banshkhali upazila, Chittagong",3.0,2.0,auto-rickshaw,truck,3 killed in Chattogram road accident,"At least three people, including two women, were killed after a truck hit an auto rickshaw head-on in Banshkhali upazila of Chattogram on Monday, reports UNB. Two other people were injured in the accident which occurred near Boilgaon area around noon.  Police are yet to identify the victims. Banshkhali Police Station's duty officer assistant sub-inspector Jahangir Alam said three people died on the spot after the collision. The injured were hospitalised after rescue, he said. ","10 May 2021, 07:05",https://en.prothomalo.com/bangladesh/accident/3-killed-in-chattogram-road-accident
2021-05-09,,"09 May 2021, 21:17",head-on,Satkhira,1.0,0.0,Van,Pedestrian,Child killed in Satkhira road crash,"An eight-year-old child was killed on Sunday morning in a road crash in Satkhira’s Shyamnagar, UNB reports. The deceased was identified as Maria Akhter, daughter of Habibullah of Burigoalini union and a second-grade student at Kalbari Government Primary School. According to locals, the child was playing by the roadside at Joliler Mor area where her parents were working. Suddenly a motor run van hit her causing serious injury. She was rushed to Shyamnagar Upazila Health Complex where she was declared dead by the physician. Locals managed to seize the van but its driver, Sushant escaped. Shyamnagar Police Station officer-in-charge (OC) Nazmud Huda said police were sent to the spot. Legal action will be taken if a complaint is received from the family of the deceased, he added.","09 May 2021, 21:17",https://en.prothomalo.com/bangladesh/accident/child-killed-in-satkhira-road-crash
2021-05-04,08:00:00,"04 May 2021, 04:57",Lost control,Meherpur,2.0,5.0,Microbus,,Couple killed in Meherpur road accident,"An elderly man and his wife were killed and five others injured in a road accident on Amjhupi-Garadove highway in Meherpur Sadar upazila on Tuesday morning, reports BSS. The deceased were identified as Abdus Sattar, 65, from Komorpur village of Mujibnagar upazila of Meherpur district and his wife Sara Khatun, 60. “Abdus Sattar and his wife fell victim to the accident when they were returning home after Sattar, being a cancer patient, received Chemotherapy from Rajshahi Medical College Hospital at around 8:00am,” confirmed by Meherpur sadar police station officer-in-charge (OC) Shahdara. Sara Khatun died on the spot when the driver of the microbus carrying them lost control over the steering and fell into a roadside ditch, said the microbus driver Redwan Ahmed who also is injured in the accident. Critically injured in the accident Abdus Sattar died on the way to Meherpur General Hospital. Police recovered the bodies and sent those to Meherpur General Hospital morgue.","04 May 2021, 04:57",https://en.prothomalo.com/bangladesh/accident/couple-killed-in-meherpur-road-accident
2021-05-03,,"03 May 2021, 04:46",Lost control,Syllhet,3.0,,Truck,,Road crash leaves three dead in Sylhet,"Three people were killed as a truck ploughed through a roadside motor workshop at Darbast bazar in Jaintapur upazila on Sylhet-Tamabil highway on Monday morning, reports UNB. The deceased were identified as Sohel Ahmed, Ashik Ahmed and Minhaz Uddin Sultan. The accident took place when a speeding Jaflong-bound truck ploughed through a motor workshop after the driver lost control of the vehicle, said Partha Ranjan Chakrabarty, sub-inspector (SI) of Jaintiapur police station. The bodies were sent to Sylhet MAG Osmani Medical College Hospital for autopsy. The accident took place a day after another deadly accident on the same highway in Jaintiapur upazila that left five people dead.","03 May 2021, 04:46",https://en.prothomalo.com/bangladesh/accident/road-crash-leaves-three-dead-in-sylhet
2021-05-03,,"04 May 2021, 06:09",head-on,Noakhali,2.0,2.0,Pickup,Van,Road accident kills two workers in Noakhali,"Two workers were killed as a pickup hit a rickshaw van on Begumganj-Chowmuhani road near Eklashpur Bazar area in Begumganj upazila of Noakhali on Monday night, reports BSS. The deceased were identified as Abdullah Al Mamun Akash, 17, resident of Katawalago village in Eklashpur union of the upazila and Nur Nabi, 16, from the same area. Locals said the accident occurred in the area when four workers were picking up sand in a rickshaw van. At one stage, a speedy pickup from the opposite direction hit the rickshaw van, leaving injured the duo seriously. The injured were taken to hospitals. One of the injured died at Noakhali Sadar Hospital. Another died at Dhaka Medical College Hospital. Officer-in-charge (OC) of Begumganj Model police station Muhammad Kamruzzaman Sikder confirmed the incident.","04 May 2021, 06:09",https://en.prothomalo.com/bangladesh/accident/road-accident-kills-two-workers-in-noakhali
2021-05-02,06:45:00,"01 May 2021, 20:22",head-on,Syllhet,4.0,1.0,Truck,,Five killed in Sylhet road crash,"Four people of a family among five were killed as a truck hit an auto-rickshaw on Sylhet-Tamabil highway in Ferry Ghat area of Jaintiapur upazila in Sylhet on Sunday. The deceased were not identified immediately. According to police the accident took place at around 6:45am on Sunday. Four passengers and the auto-rickshaw driver died on the spot. Jaintiapur police officer-in-charge (OC) Dastagir Ahmed said, rescue work was underway at the scene.","01 May 2021, 20:22",https://en.prothomalo.com/bangladesh/accident/five-killed-in-sylhet-road-crash
2021-05-02,,"02 May 2021, 07:39",Ran over,Bhola,1.0,,Truck,,ASI killed in Bhola road crash,"At least one person was killed in a road crash in Bhola’s Borhanuddin upazila on Sunday, reports UNB. The deceased was identified as Aklima Akhter, 38, assistant sub-inspector (ASI) of Borhanuddin police station. Her husband Jasim Uddin is working as sub-inspector in Bhola Sadar police station. According to police, ASI Aklima went to Kunjerhat area on a motorcycle with constable Zakaria to investigate a complaint. On their way back to Borhanuddin police station, ASI Aklima fell off the motorcycle as Zakaria made a sudden break in an attempt to save a pedestrian crossing the road near at Kunjerhat bazar area. At this very moment, a speeding truck from opposite direction crushed ASI Aklima to death on spot, confirmed Borhanuddin police station’ Officer in charge (OC) Mazhar Amin. Police arrested the driver Azhar Khan as locals seized the deadly truck after the accident.","02 May 2021, 07:39",https://en.prothomalo.com/bangladesh/accident/asi-killed-in-bhola-road-crash
2021-04-30,,"30 Apr 2021, 02:45",Lost control,Rangpur,4.0,7.0,Truck,,"4 killed, 7 injured in Rangpur road accident","Four persons were killed and seven others injured in a road accident on the Rangpur-Dhaka highway in Mithapukur of Rangpur in the small hours of Friday, reports BSS. The deceased labourers were identified as Rafikul Islam, 45, Shahidul Islam, 50, and Abul Kalam, 45, from different villages of Lalmonirhat and Fazlul Karim, 65, of Sirajganj district. “The accident occurred when an onion-laden truck overturned as its driver lost control over the steering while overtaking another truck there around 1:00am,” said Yamin-Ud-Dowla, officer-in-charge (OC) of Barodorga highway police station. The Rangpur-bound truck from Bagerhat was carrying onions with some 11 labourers, mostly from Lalmonirhat and other northern districts, aboard when the accident took place killing one labourer on the spot and injuring 10 others. Police and personnel from nearby Shothibari Fire Service and Civil Defence Station rushed to the spot, rescued the injured persons and sent them to Rangpur Medical College Hospital (RpMCH) where three of them succumbed to their injuries till 1:00pm today. The wounded labourers –- Golam Mostafa, 35, Amir Hossain, 30, Amir Ali, 40, Babu Mian, 45, Guru Das, 40, Arjun, 25, and Rasel Milan, 30 -– are undergoing treatment at the RpMCH as their condition is still critical. “Driver and helper of the truck fled from the scene soon after the accident,” the OC said, adding that a case was filed in this connection with Mithapukur police station.","30 Apr 2021, 02:45",https://en.prothomalo.com/bangladesh/accident/4-killed-7-injured-in-rangpur-road-accident
2021-04-28,14:45:00,"28 Apr 2021, 07:49",head-on,Jhenaidah,3.0,4.0,Car,3-wheeler,3 killed in Jhenaidah road crash,"Three people were killed and four others injured in a road accident on Jhenaidah-Kushtia highway on Wednesday. The deceased were identified as Tahura Khatun 25, wife of Fazlur Rahman of Fulhari village in Shailkupar; Tuhin, 28, son of Chhabur Ali of Gokulnagar village in the same upazila; and Renu Khatun, reports UNB.  Shailkupa police station officer-in-charge Jahangir Alam said the accident took place when a private car hit a three wheeler at Dudhsar in Shailkupa around 2:45 pm, leaving Renu dead on the spot and six others injured. Members of the Shailkupa fire service rushed to the spot and admitted the injured to Jhenaidah Sadar Hospital where Tahura and Tuhin died.","28 Apr 2021, 07:49",https://en.prothomalo.com/bangladesh/accident/3-killed-in-jhenaidah-road-crash
2021-04-26,11:00:00,"27 Apr 2021, 19:22",head-on,Syllhet,1.0,,Truck,Auto Rickshaw,1 killed in Sylhet road crash,"At least one person was killed Tuesday in a collision between a truck and an auto-rickshaw in Sylhet’s Golapganj. The deceased was the CNG auto-rickshaw driver Saju Mia (18), son of Almas Ali of Sherpur village under Golappur upazila. The accident occurred on the Sylhet-Zakiganj road in Chowghari area of the upazila at around 11:00 am when truck carrying sandstone hit Saju’s auto-rickshaw. Seriously injured Saju was rushed to Upazila Health Complex. As his condition deteriorated, he was transferred to Sylhet Osmani Medical College Hospital where he died at around 3:00pm while undergoing treatment. Golapganj Model Police Station officer-in-charge Mohammad Harunur Rashid Chowdhury said that the police had visited the spot after receiving the news.","27 Apr 2021, 19:22",https://en.prothomalo.com/bangladesh/accident/1-killed-in-sylhet-road-crash
2021-04-24,,"23 Apr 2021, 22:03",head-on,Natore,2.0,1.0,Truck,Motorcycle,2 motorcyclists killed in Natore road crash,"Two motorcyclists were killed while another sustained injuries when a truck hit a motorbike near Old Ferryghat in Singra upazila of Natore district on Saturday, reports UNB. The deceased were identified as Khalilur Rahman and Belal. The accident took place in the morning, when the truck hit a motorbike with three riders, leaving two of them dead on the spot. The motorbike was heading towards Bogura from Natore, said Singra police station sub-inspector Kishore Kumar Roy. The injured were taken to Singra Upazila Health Complex, he added.","23 Apr 2021, 22:03",https://en.prothomalo.com/bangladesh/accident/2-motorcyclists-killed-in-natore-road-crash
2021-04-18,23:00:00,"18 Apr 2021, 21:36",Lost Control,Pabna,3.0,6.0,Truck,,Pabna road crash leaves 3 dead,"Three people were killed and six others injured when a truck overturned at Chargargari Alhaz intersection in Ishwardi upazila of Pabna on Sunday night, reports UNB. The deceased were identified as Jubbar Pramanik, Matier Shah of Ishwardi upazila and Shukur Ali of Joypurhat district. The accident took place around 11:00pm when the banana-laden truck from Lakshmikunda overturned after its driver lost control, leaving three dead on the spot and six others injured, said Mohammad Asaduzzaman, officer-in-charge of Ishwardi Police Station. The injured were taken to Pabna General Hospital.","18 Apr 2021, 21:36",https://en.prothomalo.com/bangladesh/accident/pabna-road-crash-leaves-3-dead
